Date,beta0,beta1,beta2
2013-10-28,4.24272078826,-4.18119910908,-4.76839865152
2013-10-29,4.25506339171,-4.17167818382,-4.87349111748
2013-10-30,4.27321323143,-4.19361724514,-4.8585184186
2013-10-31,4.28251734057,-4.21864003167,-4.8462276496
2013-11-01,4.35954603075,-4.30871055542,-4.80029519929
2013-11-04,4.36534055911,-4.3078563464,-4.87116703014
2013-11-05,4.45015430346,-4.37936286353,-4.99209378397
2013-11-06,4.4595633562,-4.37493675062,-5.13479104625
2013-11-07,4.39598120518,-4.31177254604,-5.09940919218
2013-11-08,4.55500996124,-4.48579890657,-5.07916352568
2013-11-12,4.57346546599,-4.49972249889,-5.00344167944
2013-11-13,4.54417238371,-4.45146399115,-5.13384516834
2013-11-14,4.50000517978,-4.39192876044,-5.25410200464
2013-11-15,4.5069251122,-4.40464777187,-5.18943550105
2013-11-18,4.45720292172,-4.35033478521,-5.17679443133
2013-11-19,4.50768104937,-4.40913887671,-5.18522294267
2013-11-20,4.65419178654,-4.54859821966,-5.42501669438
2013-11-21,4.63201982471,-4.5475575972,-5.36560225697
2013-11-22,4.55892155694,-4.47886184923,-5.21307281757
2013-11-25,4.54767747691,-4.44867897863,-5.24105586754
2013-11-26,4.51887384674,-4.4068808581,-5.293269766
2013-11-27,4.54250332035,-4.43930272012,-5.28362473704
2013-11-29,4.55708678778,-4.46422407331,-5.25958021185
2013-12-02,4.59843036411,-4.5375381508,-5.13342040446
2013-12-03,4.58211266499,-4.50347376247,-5.20911644705
2013-12-04,4.65501713464,-4.58166145748,-5.21458729591
2013-12-05,4.68146509291,-4.62657706528,-5.15469838523
2013-12-06,4.65270684577,-4.6016020073,-5.04897524802
2013-12-09,4.62882752349,-4.57068268028,-5.03029165624
2013-12-10,4.56366882388,-4.50092394035,-5.00635590669
2013-12-11,4.61902300297,-4.56757699427,-5.00831862541
2013-12-12,4.64195240813,-4.60744445816,-4.88260193585
2013-12-13,4.61012340195,-4.57469557463,-4.82158103555
2013-12-16,4.63628520941,-4.60083334748,-4.86931781434
2013-12-17,4.60527389301,-4.55984155848,-4.9110968126
2013-12-18,4.64710375815,-4.60932470671,-4.94087036343
2013-12-19,4.64853142079,-4.64206455284,-4.67453525722
2013-12-20,4.53325724658,-4.53429864247,-4.38538011151
2013-12-23,4.56798590499,-4.5786805731,-4.33880490985
2013-12-24,4.63288318352,-4.65247971345,-4.3317688355
2013-12-26,4.64614639313,-4.67155938165,-4.30180295713
2013-12-27,4.68404645999,-4.70363501364,-4.41276413479
2013-12-30,4.63815313611,-4.64856001705,-4.41473100163
2013-12-31,4.71552987523,-4.7298464956,-4.48149154885
2014-01-02,4.66438081132,-4.67640192809,-4.45744071852
2014-01-03,4.66661818955,-4.67652923609,-4.39899053356
2014-01-06,4.63122444062,-4.65337449132,-4.39597793404
2014-01-07,4.598859906,-4.62476298421,-4.32404649229
2014-01-08,4.61350023013,-4.66184170255,-4.10191358824
2014-01-09,4.56762717168,-4.61763830144,-4.06387949112
2014-01-10,4.49142550792,-4.51346736943,-4.2753806363
2014-01-13,4.45966415091,-4.48536039494,-4.30463532908
2014-01-14,4.48806579288,-4.52254531132,-4.22612105152
2014-01-15,4.49178310612,-4.52789633094,-4.13246583838
2014-01-16,4.44750211395,-4.4811200833,-4.1122693531
2014-01-17,4.4256061204,-4.45130056398,-4.14065355884
2014-01-21,4.41440091399,-4.45094966291,-4.03533088937
2014-01-22,4.41699309538,-4.47309930843,-3.86484786086
2014-01-23,4.34684488616,-4.3820347457,-4.0437533866
2014-01-24,4.30664439109,-4.31963755674,-4.10903212136
2014-01-27,4.34511171871,-4.35703127673,-4.11837387
